Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,15.392500,15.625000,15.250000,15.268800,14.599584,10001600
2018-09-27,15.410000,15.800000,15.381300,15.521200,14.840922,9037600
2018-09-28,15.437500,15.692500,15.281200,15.311200,14.640126,8667200
2018-10-01,15.431200,15.580000,15.125000,15.328700,14.656858,5370400
2018-10-02,15.575000,16.393700,15.570000,16.299999,15.585588,13846400
2018-10-03,17.137501,17.562500,17.125000,17.417500,16.654110,24103200
2018-10-04,17.062500,17.481300,16.673700,17.437500,16.673233,15463200
2018-10-05,17.825001,18.021200,17.481300,17.750000,16.972036,16746400
2018-10-08,18.625000,18.900000,18.397499,18.567499,17.753706,13693600
2018-10-09,18.493700,18.997499,18.323700,18.775000,17.952112,12053600
2018-10-10,18.562500,18.730000,17.956200,17.956200,17.169199,13290400
2018-10-11,18.250000,18.968800,18.243700,18.837500,18.011871,16593600
2018-10-15,19.125000,19.371300,18.633801,18.750000,17.928207,10660800
2018-10-16,19.125000,20.023800,18.942499,19.900000,19.027803,17116800
2018-10-17,19.684999,20.370001,19.487499,20.218800,19.332632,14672000
2018-10-18,20.212500,20.212500,19.850000,20.110001,19.228600,10528000
2018-10-19,20.212500,21.481300,19.850000,21.125000,20.199112,15536800
2018-10-22,21.248800,21.750000,20.875000,20.887501,19.972023,11573600
2018-10-23,20.737499,21.402500,20.536200,21.132500,20.206284,11294400
2018-10-24,21.240000,21.424999,21.000000,21.000000,20.079592,8940800
2018-10-25,21.222500,21.331200,20.625000,21.027500,20.105888,12207200
2018-10-26,21.101200,21.106300,20.537500,20.850000,19.936169,12328000
2018-10-29,20.706200,21.266300,20.446301,20.806200,19.894287,11056800
2018-10-30,21.012501,21.182501,20.580000,21.158800,20.231432,13530400
2018-10-31,21.250000,21.476200,20.730000,21.100000,20.175209,9321600
2018-11-01,21.250000,21.362499,20.876200,21.241199,20.310221,8826400
2018-11-05,21.287500,21.656200,21.031200,21.620001,20.672419,10884800
2018-11-06,20.812500,20.898800,19.639999,19.812500,18.944139,27033600
2018-11-07,20.250000,20.292500,18.226200,18.862499,18.035774,38664000
2018-11-08,18.817499,19.250000,18.437500,18.446301,17.637819,14698400
2018-11-09,18.500000,18.557501,17.887501,18.299999,17.497929,17099200
2018-11-12,18.375000,19.445000,18.162500,19.192499,18.351313,13290400
2018-11-13,19.362499,19.843800,19.071301,19.176300,18.335823,13641600
2018-11-14,19.293800,19.537500,18.688700,19.437500,18.585575,11627200
2018-11-16,19.611200,19.715000,19.375000,19.562500,18.705097,10806400
2018-11-19,19.625000,19.725000,19.282499,19.518700,18.663216,5355200
2018-11-21,19.348700,19.606300,19.025000,19.405001,18.554501,7469600
2018-11-22,19.388800,20.000000,19.376200,20.000000,19.123421,9015200
2018-11-23,20.025000,20.559999,20.018700,20.293800,19.404345,9522400
2018-11-26,20.500000,20.738800,19.751200,19.771200,18.904648,10952000
2018-11-27,20.037500,21.102501,19.896200,21.096300,20.171671,11514400
2018-11-28,20.875000,21.668800,20.753700,21.256300,20.324657,15602400
2018-11-29,20.812500,21.437500,20.377501,21.405001,20.466843,13967200
2018-11-30,21.186300,21.375000,20.562500,20.578800,19.676853,14056800
2018-12-03,21.000000,21.040001,20.077499,20.266300,19.378050,9081600
2018-12-04,20.382500,20.986200,20.084999,20.600000,19.697124,13332800
2018-12-05,20.598700,20.806200,20.437500,20.613800,19.710320,3836000
2018-12-06,20.312500,20.781200,20.193800,20.666300,19.760517,5756800
2018-12-07,20.565001,20.900000,20.376200,20.543800,19.643387,6428800
2018-12-10,20.543800,20.721300,20.049999,20.066200,19.186720,5544800
2018-12-11,20.375000,20.571301,20.112499,20.548700,19.648071,5144000
2018-12-12,20.600000,21.025000,20.600000,21.000000,20.079592,6977600
2018-12-13,21.017500,21.202499,20.907499,20.937500,20.019831,4767200
