Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,34052.621094,34265.468750,33766.578125,33943.281250,33943.281250,0
2018-09-27,33943.281250,35121.148438,33592.820313,33651.328125,33651.328125,0
2018-09-28,33651.328125,34119.871094,33222.429688,33461.769531,33461.769531,0
2018-10-01,33461.839844,33944.648438,32584.939453,32584.939453,32584.939453,0
2018-10-02,32584.939453,33370.039063,32584.939453,32730.380859,32730.380859,0
2018-10-03,32730.380859,33764.390625,32032.250000,32201.470703,32201.470703,0
2018-10-04,32201.470703,32223.560547,30912.130859,30928.830078,30928.830078,0
2018-10-05,30928.830078,31516.890625,30129.179688,30168.720703,30168.720703,0
2018-10-08,30168.720703,30858.460938,30094.470703,30547.130859,30547.130859,0
2018-10-09,30547.130859,30577.240234,29327.529297,29612.449219,29612.449219,0
2018-10-10,29612.449219,29612.449219,28434.849609,28549.769531,28549.769531,0
2018-10-11,28549.769531,28698.039063,27581.310547,27613.089844,27613.089844,0
2018-10-12,27613.089844,29756.849609,27613.089844,29598.179688,29598.179688,0
2018-10-16,29598.179688,30100.660156,29281.169922,29430.589844,29430.589844,0
2018-10-17,29430.589844,29430.589844,28701.529297,28721.369141,28721.369141,0
2018-10-18,28721.369141,28821.060547,28237.880859,28370.449219,28370.449219,0
2018-10-19,28370.449219,28922.980469,28370.449219,28673.279297,28673.279297,0
2018-10-22,28673.279297,28901.289063,28394.300781,28567.779297,28567.779297,0
2018-10-23,28567.779297,28567.779297,27877.529297,28359.720703,28359.720703,0
2018-10-24,28359.720703,28711.869141,27912.779297,28157.429688,28157.429688,0
2018-10-25,28157.429688,29560.859375,28157.429688,29334.990234,29334.990234,0
2018-10-26,29334.990234,29846.949219,28705.650391,29369.869141,29369.869141,0
2018-10-29,29369.869141,29829.730469,28647.320313,28898.240234,28898.240234,0
2018-10-30,28898.240234,29466.210938,28898.240234,29425.789063,29425.789063,0
2018-10-31,29425.789063,29547.179688,29012.919922,29491.109375,29491.109375,0
2018-11-01,29491.109375,31361.730469,29491.109375,31308.630859,31308.630859,0
2018-11-02,31308.630859,31831.009766,31030.119141,31419.259766,31419.259766,0
2018-11-05,31419.259766,31598.560547,30935.619141,31429.300781,31429.300781,0
2018-11-07,30973.550781,31583.839844,30973.550781,31404.689453,31404.689453,0
2018-11-08,31404.689453,31635.259766,30728.460938,30736.410156,30736.410156,0
2018-11-09,30736.410156,30736.410156,29746.050781,29912.490234,29912.490234,0
2018-11-12,29912.490234,30086.650391,29375.339844,29423.300781,29423.300781,0
2018-11-13,29423.300781,29592.050781,28526.320313,28543.429688,28543.429688,0
2018-11-14,28543.429688,29449.660156,28535.160156,29372.539063,29372.539063,0
2018-11-15,29372.539063,30886.289063,29372.539063,30473.820313,30473.820313,0
2018-11-16,30473.820313,31278.150391,30473.820313,31109.250000,31109.250000,0
2018-11-20,31109.250000,31145.599609,29650.339844,29714.679688,29714.679688,0
2018-11-21,29714.679688,30680.779297,29702.269531,30262.919922,30262.919922,0
2018-11-22,30262.919922,30450.240234,30116.199219,30274.509766,30274.509766,0
2018-11-23,30274.509766,31100.769531,29966.669922,30723.480469,30723.480469,0
2018-11-26,30723.480469,31739.609375,30705.289063,31131.869141,31131.869141,0
2018-11-27,31131.869141,31663.849609,30804.320313,30921.109375,30921.109375,0
2018-11-28,30921.109375,31397.330078,30505.279297,31138.660156,31138.660156,0
2018-11-29,31138.660156,31605.160156,31001.599609,31482.580078,31482.580078,0
2018-11-30,null,null,null,null,null,null
2018-12-03,31482.580078,32617.339844,31482.580078,31888.789063,31888.789063,0
2018-12-04,31888.789063,32143.990234,31661.669922,31958.330078,31958.330078,0
2018-12-05,31958.330078,32034.679688,31629.529297,31779.869141,31779.869141,0
2018-12-06,31779.869141,32105.509766,31075.429688,32019.839844,32019.839844,0
2018-12-07,32019.839844,32446.859375,31440.320313,31550.400391,31550.400391,0
2018-12-10,31550.400391,31550.400391,30711.529297,30753.539063,30753.539063,0
2018-12-11,30753.539063,31413.279297,30753.539063,30941.089844,30941.089844,0
2018-12-12,30941.089844,31590.849609,30941.089844,31081.369141,31081.369141,0
2018-12-13,31081.369141,31360.570313,30941.000000,31019.789063,31019.789063,0
2018-12-14,31019.789063,31164.300781,30800.710938,31109.449219,31109.449219,0
2018-12-17,31109.449219,31118.669922,29819.750000,29888.019531,29888.019531,0
2018-12-18,29888.019531,30242.119141,29653.839844,29777.259766,29777.259766,0
2018-12-19,29777.259766,30475.279297,29727.300781,29968.279297,29968.279297,0
