Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,5.980000,6.060000,5.830000,5.990000,5.990000,15262300
2019-02-05,5.990000,6.040000,5.640000,5.790000,5.790000,22381800
2019-02-06,5.540000,5.550000,5.240000,5.290000,5.290000,27794100
2019-02-07,5.330000,5.630000,5.250000,5.450000,5.450000,21478700
2019-02-08,5.490000,5.680000,5.410000,5.560000,5.560000,19199300
2019-02-11,5.620000,5.650000,5.420000,5.520000,5.520000,12077300
2019-02-12,5.610000,5.640000,5.530000,5.560000,5.560000,10538200
2019-02-13,5.610000,5.620000,5.370000,5.450000,5.450000,14900700
2019-02-14,5.500000,5.520000,5.160000,5.450000,5.450000,22577100
2019-02-15,5.430000,5.480000,5.250000,5.280000,5.280000,9585600
2019-02-18,5.270000,5.470000,5.170000,5.470000,5.470000,9582700
2019-02-19,5.490000,5.510000,5.260000,5.280000,5.280000,15060700
2019-02-20,5.100000,5.360000,5.000000,5.210000,5.210000,40091400
2019-02-21,5.050000,5.060000,4.670000,4.670000,4.670000,46219800
2019-02-22,4.670000,4.840000,4.360000,4.720000,4.720000,28518300
2019-02-25,4.740000,5.040000,4.650000,4.970000,4.970000,63826400
2019-02-26,4.950000,5.010000,4.750000,4.770000,4.770000,21226300
2019-02-27,4.800000,4.830000,4.640000,4.640000,4.640000,26249100
2019-02-28,4.680000,4.770000,4.560000,4.580000,4.580000,23587100
2019-03-01,4.640000,4.680000,4.460000,4.540000,4.540000,11066500
2019-03-06,4.540000,4.560000,4.390000,4.390000,4.390000,8513200
2019-03-07,4.380000,4.540000,4.330000,4.410000,4.410000,16023800
2019-03-08,4.400000,4.680000,4.390000,4.680000,4.680000,15020100
2019-03-11,4.690000,4.850000,4.680000,4.760000,4.760000,10833900
2019-03-12,4.760000,4.880000,4.740000,4.840000,4.840000,10933300
2019-03-13,4.820000,4.840000,4.610000,4.620000,4.620000,14137600
2019-03-14,4.660000,4.710000,4.570000,4.640000,4.640000,8916700
2019-03-15,4.670000,4.690000,4.540000,4.540000,4.540000,8328500
2019-03-18,4.570000,4.590000,4.530000,4.590000,4.590000,6944000
2019-03-19,4.610000,4.680000,4.590000,4.640000,4.640000,7387800
2019-03-20,4.660000,4.670000,4.580000,4.580000,4.580000,5691700
2019-03-21,4.590000,4.610000,4.390000,4.550000,4.550000,12660800
2019-03-22,4.450000,4.480000,4.320000,4.330000,4.330000,13054200
2019-03-25,4.340000,4.380000,4.230000,4.330000,4.330000,8030400
2019-03-26,4.380000,4.430000,4.330000,4.360000,4.360000,6715800
2019-03-27,4.330000,4.330000,4.030000,4.110000,4.110000,18217500
2019-03-28,4.150000,4.240000,4.010000,4.180000,4.180000,13751800
2019-03-29,4.250000,4.290000,4.180000,4.220000,4.220000,11337300
2019-04-01,4.290000,4.320000,4.230000,4.270000,4.270000,4589100
2019-04-02,4.280000,4.620000,4.210000,4.550000,4.550000,14957300
2019-04-03,4.650000,4.680000,4.380000,4.380000,4.380000,18421000
2019-04-04,4.400000,4.450000,4.260000,4.380000,4.380000,10879000
2019-04-05,4.410000,4.570000,4.350000,4.530000,4.530000,10630600
2019-04-08,4.570000,4.600000,4.370000,4.370000,4.370000,9710600
2019-04-09,4.390000,4.410000,4.310000,4.340000,4.340000,5577000
2019-04-10,4.390000,4.390000,4.280000,4.310000,4.310000,5043200
2019-04-11,4.330000,4.340000,4.240000,4.290000,4.290000,7283600
2019-04-12,4.240000,4.270000,4.120000,4.160000,4.160000,10958200
2019-04-15,4.200000,4.230000,4.120000,4.150000,4.150000,6672300
2019-04-16,4.150000,4.170000,3.990000,4.010000,4.010000,20953600
2019-04-17,4.040000,4.110000,3.890000,3.920000,3.920000,25235500
2019-04-18,3.960000,3.990000,3.900000,3.950000,3.950000,16526400
2019-04-22,3.950000,3.980000,3.800000,3.840000,3.840000,11548700
2019-04-23,3.870000,4.030000,3.870000,3.930000,3.930000,19778900
2019-04-24,3.890000,4.060000,3.860000,3.930000,3.930000,17137100
2019-04-25,3.970000,4.110000,3.970000,4.020000,4.020000,23270000
2019-04-26,4.040000,4.080000,3.990000,4.030000,4.030000,12824000
2019-04-29,4.090000,4.160000,4.050000,4.120000,4.120000,11802800
2019-04-30,4.150000,4.210000,4.060000,4.100000,4.100000,12062900
2019-05-02,4.070000,4.140000,4.030000,4.140000,4.140000,8217800
2019-05-03,4.430000,4.550000,4.370000,4.520000,4.520000,36316100
2019-05-06,4.440000,4.680000,4.410000,4.560000,4.560000,23288600
2019-05-07,4.620000,4.720000,4.600000,4.720000,4.720000,23106900
2019-05-08,4.790000,4.920000,4.510000,4.530000,4.530000,35307500
2019-05-09,4.450000,4.750000,4.330000,4.740000,4.740000,32166700
2019-05-10,4.770000,4.800000,4.550000,4.610000,4.610000,25329400
2019-05-13,4.510000,4.760000,4.460000,4.730000,4.730000,34299200
2019-05-14,4.830000,4.850000,4.550000,4.550000,4.550000,23582500
2019-05-15,4.510000,4.520000,4.300000,4.300000,4.300000,19826700
2019-05-16,4.280000,4.360000,4.060000,4.090000,4.090000,23608200
2019-05-17,4.090000,4.170000,3.970000,4.030000,4.030000,19873900
2019-05-20,4.050000,4.200000,4.000000,4.110000,4.110000,12621500
2019-05-21,4.140000,4.320000,4.120000,4.310000,4.310000,15512800
2019-05-22,4.350000,4.420000,4.230000,4.320000,4.320000,15261100
2019-05-23,4.260000,4.300000,4.180000,4.200000,4.200000,10015900
2019-05-24,4.260000,4.280000,4.160000,4.200000,4.200000,6734000
2019-05-27,4.240000,4.320000,4.240000,4.260000,4.260000,5251900
2019-05-28,4.290000,4.410000,4.270000,4.410000,4.410000,10471200
2019-05-29,4.450000,4.590000,4.440000,4.580000,4.580000,17431100
2019-05-30,4.680000,4.920000,4.630000,4.800000,4.800000,32683700
2019-05-31,4.740000,4.830000,4.650000,4.700000,4.700000,16098400
2019-06-03,4.900000,4.960000,4.760000,4.960000,4.960000,23521300
2019-06-04,5.140000,5.220000,4.860000,4.860000,4.860000,28028800
2019-06-05,4.780000,4.840000,4.620000,4.650000,4.650000,18375000
2019-06-06,5.010000,5.030000,4.720000,4.950000,4.950000,36905900
2019-06-07,4.970000,5.030000,4.880000,5.000000,5.000000,16666300
2019-06-10,4.950000,5.080000,4.910000,5.060000,5.060000,14333300
2019-06-11,5.100000,5.110000,4.970000,5.000000,5.000000,15280300
2019-06-12,4.810000,4.940000,4.780000,4.840000,4.840000,54327400
2019-06-13,4.870000,5.080000,4.830000,5.040000,5.040000,42447100
2019-06-14,4.970000,5.150000,4.900000,4.970000,4.970000,539987500
2019-06-17,5.010000,5.070000,4.980000,5.070000,5.070000,29082700
2019-06-18,5.140000,5.230000,5.040000,5.070000,5.070000,29776100
2019-06-19,5.110000,5.130000,4.960000,5.060000,5.060000,20698000
2019-06-21,5.070000,5.160000,5.030000,5.100000,5.100000,16586500
2019-06-24,5.120000,5.140000,5.070000,5.110000,5.110000,15109900
2019-06-25,5.100000,5.120000,4.980000,5.040000,5.040000,17019100
2019-06-26,5.070000,5.090000,4.970000,4.980000,4.980000,18839800
2019-06-27,4.980000,5.020000,4.840000,4.970000,4.970000,21062100
2019-06-28,5.010000,5.100000,4.980000,5.070000,5.070000,23778400
2019-07-01,5.100000,5.130000,5.050000,5.120000,5.120000,21690800
2019-07-02,5.130000,5.450000,5.120000,5.450000,5.450000,51057600
2019-07-03,5.510000,6.000000,5.510000,5.990000,5.990000,78932900
2019-07-04,6.140000,6.330000,6.060000,6.240000,6.240000,58703900
2019-07-05,6.230000,6.490000,6.100000,6.350000,6.350000,46130300
2019-07-08,6.460000,6.840000,6.410000,6.750000,6.750000,53524900
2019-07-10,7.180000,7.350000,6.620000,6.730000,6.730000,109849700
2019-07-11,6.870000,6.900000,6.450000,6.500000,6.500000,54869100
2019-07-12,6.610000,6.690000,6.260000,6.520000,6.520000,59647800
2019-07-15,6.900000,7.030000,6.730000,7.030000,7.030000,61194500
2019-07-16,7.190000,7.210000,7.020000,7.130000,7.130000,45063300
2019-07-17,7.130000,7.340000,7.020000,7.310000,7.310000,42031100
2019-07-18,7.290000,7.500000,7.260000,7.380000,7.380000,37408000
2019-07-19,7.380000,7.450000,7.050000,7.150000,7.150000,32609600
2019-07-22,7.220000,7.290000,6.910000,7.050000,7.050000,30519800
2019-07-23,7.080000,7.080000,6.870000,6.920000,6.920000,24877500
2019-07-24,6.980000,7.330000,6.940000,7.320000,7.320000,33622600
2019-07-25,7.400000,7.420000,7.070000,7.100000,7.100000,34809600
2019-07-26,7.180000,7.340000,7.040000,7.340000,7.340000,27220800
2019-07-29,7.300000,7.740000,7.190000,7.680000,7.680000,39433800
2019-07-30,7.650000,7.870000,7.570000,7.620000,7.620000,42615900
2019-07-31,7.720000,7.790000,7.540000,7.720000,7.720000,25982300
2019-08-01,7.850000,8.360000,7.840000,8.200000,8.200000,70451700
2019-08-02,8.300000,8.360000,8.030000,8.190000,8.190000,27122600
2019-08-05,7.960000,8.150000,7.810000,7.920000,7.920000,34085700
2019-08-06,8.100000,8.270000,8.020000,8.180000,8.180000,24707100
2019-08-07,8.090000,8.490000,7.980000,8.440000,8.440000,30036700
2019-08-08,8.540000,8.660000,8.510000,8.530000,8.530000,22325300
2019-08-09,8.480000,8.640000,8.400000,8.530000,8.530000,20572800
2019-08-12,8.470000,8.500000,8.260000,8.280000,8.280000,19298000
2019-08-13,8.450000,8.570000,8.360000,8.460000,8.460000,22581600
2019-08-14,8.350000,8.660000,8.010000,8.110000,8.110000,52919000
2019-08-15,7.980000,8.320000,7.430000,7.690000,7.690000,63912900
2019-08-16,7.980000,8.000000,6.890000,7.120000,7.120000,66811400
2019-08-19,7.130000,7.220000,6.600000,6.730000,6.730000,55458700
2019-08-20,6.720000,7.110000,6.320000,7.060000,7.060000,75498000
2019-08-21,7.200000,7.280000,6.970000,7.180000,7.180000,36021500
2019-08-22,7.180000,7.200000,6.900000,6.900000,6.900000,20433100
2019-08-23,6.780000,7.090000,6.650000,6.790000,6.790000,30192600
2019-08-26,6.900000,6.940000,6.400000,6.480000,6.480000,29214400
2019-08-27,6.600000,6.850000,6.460000,6.850000,6.850000,29658700
2019-08-28,6.800000,7.040000,6.700000,7.000000,7.000000,30916200
2019-08-29,7.110000,7.370000,7.100000,7.310000,7.310000,31122600
2019-08-30,7.490000,7.730000,7.180000,7.730000,7.730000,58372400
2019-09-02,7.600000,7.940000,7.540000,7.790000,7.790000,27002600
2019-09-03,7.700000,7.920000,7.540000,7.560000,7.560000,27491300
2019-09-04,7.730000,7.760000,7.510000,7.620000,7.620000,22874500
2019-09-05,7.650000,7.730000,7.550000,7.550000,7.550000,18518900
2019-09-06,7.570000,7.590000,7.340000,7.380000,7.380000,17817200
2019-09-09,7.380000,7.400000,6.950000,7.010000,7.010000,33957500
2019-09-10,6.780000,6.840000,6.600000,6.780000,6.780000,55287800
2019-09-11,7.040000,7.080000,6.910000,6.980000,6.980000,40243600
2019-09-12,7.050000,7.170000,6.920000,7.100000,7.100000,19292900
2019-09-13,7.080000,7.160000,6.850000,6.910000,6.910000,17988200
2019-09-16,6.850000,7.040000,6.680000,6.950000,6.950000,15281100
2019-09-17,6.840000,7.080000,6.810000,6.970000,6.970000,16928500
2019-09-18,7.000000,7.110000,6.970000,7.030000,7.030000,15941500
2019-09-19,7.170000,7.480000,7.170000,7.400000,7.400000,45657300
2019-09-20,7.400000,7.570000,7.300000,7.400000,7.400000,27833700
2019-09-23,7.530000,7.600000,7.380000,7.560000,7.560000,26725000
2019-09-24,7.580000,7.640000,7.440000,7.470000,7.470000,20040000
2019-09-25,7.400000,7.680000,7.330000,7.640000,7.640000,21035000
2019-09-26,7.710000,7.880000,7.660000,7.860000,7.860000,26681900
