Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,74.230003,74.779999,72.699997,72.699997,71.878288,834600
2018-09-27,72.989998,74.750000,72.830002,74.199997,73.521004,877900
2018-09-28,73.449997,74.190002,72.430000,72.430000,71.767204,531900
2018-10-01,72.989998,72.989998,70.370003,71.300003,70.647552,2550800
2018-10-02,73.400002,73.800003,71.879997,72.510002,71.846481,752800
2018-10-03,74.000000,76.550003,73.709999,74.000000,73.322838,1867700
2018-10-04,74.300003,75.269997,73.849998,74.160004,73.481384,1040000
2018-10-05,75.300003,75.580002,72.699997,72.750000,72.084282,831000
2018-10-08,75.989998,76.480003,72.750000,74.250000,73.570549,1572400
2018-10-09,75.400002,75.400002,73.250000,73.279999,72.609428,903600
2018-10-10,72.599998,74.160004,71.400002,71.769997,71.113235,1024500
2018-10-11,72.699997,72.699997,67.080002,67.480003,66.862503,2539100
2018-10-15,67.870003,68.250000,66.760002,67.489998,66.872414,1452700
2018-10-16,68.000000,68.199997,65.830002,67.010002,66.396805,2109500
2018-10-17,66.500000,66.849998,64.919998,65.089996,64.494370,2178600
2018-10-18,65.099998,66.790001,64.959999,66.300003,65.693306,2624000
2018-10-19,66.239998,67.300003,65.800003,66.300003,65.693306,1337200
2018-10-22,66.790001,67.599998,66.099998,66.800003,66.188728,1378400
2018-10-23,66.209999,67.190002,66.019997,66.800003,66.188728,1979400
2018-10-24,67.000000,67.300003,63.799999,64.160004,63.572891,1285600
2018-10-25,65.010002,66.199997,64.309998,65.180000,64.583549,1388000
2018-10-26,65.900002,66.099998,64.949997,65.959999,65.356407,1082700
2018-10-29,65.040001,65.500000,62.580002,63.200001,62.621666,1849800
2018-10-30,63.759998,66.620003,63.759998,65.000000,64.405190,2135600
2018-10-31,63.799999,64.000000,61.980000,62.820000,62.245144,2832000
2018-11-01,63.549999,63.709999,62.150002,63.150002,62.572124,1748000
2018-11-05,63.150002,66.500000,62.950001,66.500000,65.891464,1824900
2018-11-06,66.300003,67.680000,65.820000,66.750000,66.139183,1680000
2018-11-07,67.550003,67.550003,66.269997,67.000000,66.386887,832000
2018-11-08,67.110001,67.500000,65.910004,66.000000,65.396049,2225900
2018-11-09,66.099998,66.589996,64.959999,66.000000,65.396049,700700
2018-11-12,65.260002,66.510002,64.930000,65.540001,64.940254,563300
2018-11-13,66.239998,67.250000,64.000000,66.900002,66.287819,1043800
2018-11-14,67.000000,68.190002,66.410004,66.599998,65.990562,753400
2018-11-16,67.120003,67.660004,65.519997,66.250000,65.643761,1626400
2018-11-19,66.500000,66.739998,62.320000,63.500000,62.918922,1954600
2018-11-21,63.490002,64.080002,61.209999,63.099998,62.522579,1269400
2018-11-22,62.639999,63.900002,62.639999,63.200001,62.621666,426800
2018-11-23,62.849998,64.239998,62.080002,62.709999,62.136147,930200
2018-11-26,63.549999,64.339996,62.169998,62.169998,61.601093,688300
2018-11-27,62.830002,63.599998,62.369999,62.799999,62.225327,1163000
2018-11-28,63.099998,63.099998,60.740002,62.400002,61.828991,2551500
2018-11-29,62.009998,62.950001,61.610001,62.180000,61.611000,1097800
2018-11-30,62.230000,62.950001,61.930000,62.130001,61.561459,1603100
2018-12-03,62.980000,65.199997,62.320000,63.459999,62.879284,2479900
2018-12-04,63.490002,64.570000,63.480000,64.000000,63.414349,2100700
2018-12-05,63.770000,64.120003,62.509998,62.689999,62.116333,1796900
2018-12-06,62.509998,63.270000,62.060001,62.799999,62.225327,1060600
2018-12-07,62.970001,62.970001,61.430000,61.430000,60.867867,1193400
2018-12-10,61.549999,62.240002,60.529999,60.900002,60.342716,553000
2018-12-11,61.560001,62.950001,61.119999,62.950001,62.373959,2865400
2018-12-12,63.009998,64.930000,62.439999,64.050003,63.463894,1281300
2018-12-13,64.070000,65.000000,62.950001,63.139999,62.562214,775700
2018-12-14,62.950001,63.680000,61.759998,62.619999,62.046974,748600
2018-12-17,62.759998,62.759998,60.900002,60.900002,60.507015,630600
2018-12-18,61.500000,61.500000,58.900002,58.959999,58.579533,1126700
2018-12-19,59.549999,61.189999,58.959999,59.509998,59.125977,1881900
2018-12-20,59.990002,60.040001,57.000000,57.759998,57.387272,1637700
2018-12-21,57.759998,59.980000,57.610001,59.099998,58.718628,1917300
2018-12-26,58.910000,58.910000,57.790001,57.799999,57.427013,425700
2018-12-27,57.799999,58.470001,57.160000,57.160000,56.791149,439000
2018-12-28,57.950001,57.950001,56.599998,57.150002,56.781212,1146800
2019-01-02,57.000000,57.750000,56.169998,56.700001,56.334118,1698200
2019-01-03,56.759998,56.799999,55.259998,56.570000,56.204952,1292900
2019-01-04,57.000000,58.700001,55.830002,57.380001,57.009727,2507600
2019-01-07,57.990002,58.000000,55.980000,56.099998,55.737988,844700
2019-01-08,56.250000,58.439999,55.630001,58.150002,57.774761,1434800
2019-01-09,58.369999,61.549999,58.369999,61.110001,60.715660,1903400
2019-01-10,61.110001,63.959999,61.000000,63.520000,63.110107,1410900
2019-01-11,63.490002,64.790001,62.660000,64.000000,63.587009,1378700
2019-01-14,63.520000,66.050003,62.700001,63.770000,63.358490,1059100
2019-01-15,63.599998,64.790001,63.150002,64.720001,64.302361,952800
2019-01-16,65.010002,65.150002,62.580002,64.199997,63.785713,1292500
2019-01-17,64.150002,64.839996,63.020000,63.020000,62.613331,883900
2019-01-18,63.060001,64.230003,62.919998,63.369999,62.961071,830100
2019-01-21,63.770000,63.770000,61.250000,62.380001,61.977463,812800
2019-01-22,62.490002,63.029999,61.130001,61.450001,61.053463,924700
2019-01-23,61.849998,63.000000,61.459999,61.889999,61.490623,893900
2019-01-24,62.130001,62.580002,61.639999,62.290001,61.888046,708900
2019-01-28,62.459999,66.410004,61.799999,65.110001,64.689850,1806800
2019-01-29,65.730003,66.300003,62.810001,63.099998,62.692814,1972800
2019-01-30,63.299999,64.150002,61.150002,62.360001,61.957592,1290200
2019-01-31,62.889999,62.889999,61.799999,62.000000,61.599915,1055900
